kecamatan,jumlah_insiden,waktu_respon,waktu_operasi,jumlah_pos,total_personil,total_kendaraan
Cakung,10,6,176,2,20,9
Menteng,4,7,324,1,7,4
Ciracas,2,13,81,2,8,3
Kebayoran Baru,12,36,104,3,18,6
Kebayoran Lama,16,7,141,2,10,4
Penjaringan,36,16,470,2,12,3
Kemayoran,5,8,425,3,31,12
Setiabudi,1,11,105,1,6,1
Pademangan,11,28,201,2,13,4
Grogol Petamburan,14,6,392,2,37,21
Cipayung,4,7,132,1,4,6
Duren Sawit,10,8,382,2,12,7
Jatinegara,13,7,269,1,9,4
Jagakarsa,10,6,110,3,16,7
Johar Baru,1,10,210,1,8,4
Matraman,6,7,133,2,21,11
Cilincing,12,8,123,2,36,14
Pancoran,10,12,385,1,6,2
Tanjung Priok,9,8,114,1,7,1
Makasar,8,8,238,1,8,4
Cilandak,10,6,125,1,5,1
Kalideres,17,6,125,3,18,5
Cempaka Putih,2,5,108,2,14,6
Kelapa Gading,9,7,247,2,10,3
Tanah Abang,8,5,472,4,18,8
Gambir,5,54,299,5,54,26
Cengkareng,18,6,137,3,20,7
Kramat Jati,17,6,233,2,17,8
Sawah Besar,9,6,240,3,23,8
Pesanggrahan,13,6,158,1,5,1
Kembangan,12,5,112,3,16,5
Koja,3,8,226,1,28,6
Tambora,12,6,164,3,18,8
Pasar Minggu,10,7,215,3,21,8
Mampang Prapatan,4,7,129,1,6,1
Bekasi,8,31,1556,0,0,0
Senen,8,6,134,0,0,0
Pulogadung,18,8,143,0,0,0
Kep. Seribu Selatan,1,5,389,0,0,0
Palmerah,8,6,329,0,0,0
Pasar Rebo,2,13,78,0,0,0
Kebun Jeruk,13,12,160,0,0,0
Depok,3,28,268,0,0,0
Tebet,9,11,246,0,0,0
Tangerang,11,7,139,0,0,0
Tamansari,12,7,262,0,0,0
